Aircraft.damage,Make,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Weather.Condition,Broad.phase.of.flight
Destroyed,Stinson,2,0,0,UNK,Cruise
Destroyed,Piper,4,0,0,UNK,Unknown
Destroyed,Cessna,3,0,0,IMC,Cruise
Destroyed,Rockwell,2,0,0,IMC,Cruise
Destroyed,Cessna,1,2,0,VMC,Approach
Substantial,Mcdonnell douglas,0,0,1,VMC,Climb
Destroyed,Cessna,4,0,0,IMC,Unknown
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,IMC,Landing
Substantial,North american,0,0,3,IMC,Cruise
Substantial,Piper,0,0,0,VMC,Approach
Substantial,Beech,0,0,0,VMC,Landing
Destroyed,Bellanca,0,0,1,IMC,Cruise
Destroyed,Cessna,1,0,0,IMC,Takeoff
Destroyed,Navion,1,0,0,IMC,Cruise
Destroyed,Beech,2,0,0,IMC,Cruise
Destroyed,Enstrom,0,0,0,IMC,Taxi
Destroyed,Cessna,3,0,0,VMC,Unknown
Substantial,Cessna,0,0,0,VMC,Taxi
Substantial,Smith,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Takeoff
Substantial,Cessna,0,0,0,VMC,Approach
Substantial,Bell,0,0,0,VMC,Approach
Minor,Piper,0,0,0,VMC,Approach
Destroyed,Grumman,2,1,0,IMC,Descent
Destroyed,Cessna,8,0,0,IMC,Approach
Destroyed,Beechcraft,1,0,0,IMC,Approach
Substantial,Maule,0,0,0,VMC,Landing
Substantial,Cessna,0,0,1,VMC,Descent
Substantial,Bellanca,0,0,2,VMC,Maneuvering
Substantial,Cessna,0,0,2,VMC,Approach
Substantial,Air tractor,0,0,0,VMC,Takeoff
Destroyed,Piper,4,0,0,VMC,Cruise
Destroyed,Piper,2,0,0,VMC,Cruise
Destroyed,Cessna,2,2,0,IMC,Cruise
Substantial,Piper,0,0,2,VMC,Cruise
Destroyed,Cessna,1,0,1,VMC,Taxi
Destroyed,Navion,3,0,0,IMC,Cruise
Destroyed,Piper,1,0,0,IMC,Cruise
Destroyed,Piper,2,0,0,VMC,Approach
Minor,Rockwell,0,0,0,VMC,Cruise
Substantial,Piper,0,1,0,VMC,Descent
Substantial,Piper,0,0,0,VMC,Cruise
Substantial,Cessna,0,0,0,VMC,Taxi
