Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Aircraft.damage,Broad.phase.of.flight
Stinson,108-3,2,0,0,0,Destroyed,Cruise
Piper,PA24-180,4,0,0,0,Destroyed,Unknown
Cessna,172M,3,0,0,0,Destroyed,Cruise
Rockwell,112,2,0,0,0,Destroyed,Cruise
Cessna,501,1,2,0,0,Destroyed,Approach
Mcdonnell Douglas,DC9,0,0,1,44,Substantial,Climb
Cessna,180,4,0,0,0,Destroyed,Unknown
Cessna,140,0,0,0,2,Substantial,Takeoff
Cessna,401B,0,0,0,2,Substantial,Landing
North American,NAVION L-17B,0,0,3,0,Substantial,Cruise
Piper,PA-28-161,0,0,0,1,Substantial,Approach
Beech,V35B,0,0,0,1,Substantial,Landing
Bellanca,17-30A,0,0,1,0,Destroyed,Cruise
Cessna,R172K,1,0,0,0,Destroyed,Takeoff
Navion,A,1,0,0,0,Destroyed,Cruise
Beech,19,2,0,0,0,Destroyed,Cruise
Enstrom,280C,0,0,0,1,Destroyed,Taxi
Cessna,180,3,0,0,0,Destroyed,Unknown
Cessna,172,0,0,0,1,Substantial,Taxi
Smith,WCS-222 (BELL 47G),0,0,0,2,Substantial,Cruise
Cessna,152,0,0,0,1,Substantial,Takeoff
Cessna,150L,0,0,0,2,Substantial,Approach
Bell,206L-1,0,0,0,1,Substantial,Approach
Piper,PA-24-180,0,0,0,1,Minor,Approach
Grumman,AA-5B,2,1,0,0,Destroyed,Descent
Cessna,414A,8,0,0,0,Destroyed,Approach
Beechcraft,BE-58,1,0,0,0,Destroyed,Approach
Maule,M-5-235C,0,0,0,2,Substantial,Landing
Cessna,210L,0,0,1,1,Substantial,Descent
Bellanca,7GCBC,0,0,2,0,Substantial,Maneuvering
Cessna,182,0,0,2,0,Substantial,Approach
Air Tractor,AT-301,0,0,0,1,Substantial,Takeoff
Piper,PA-28-161,4,0,0,0,Destroyed,Cruise
Piper,PA-34-200T,2,0,0,0,Destroyed,Cruise
Cessna,T337G,2,2,0,0,Destroyed,Cruise
Piper,PA-28R-200,0,0,2,0,Substantial,Cruise
Cessna,206,1,0,1,0,Destroyed,Taxi
Navion,A,3,0,0,0,Destroyed,Cruise
Piper,PA-22,1,0,0,0,Destroyed,Cruise
Piper,PA-31,2,0,0,0,Destroyed,Approach
Rockwell,114,0,0,0,1,Minor,Cruise
Piper,PA-24-250,0,1,0,1,Substantial,Descent
Piper,PA-28R-200,0,0,0,1,Substantial,Cruise
Cessna,TR182,0,0,0,1,Substantial,Taxi
Cessna,A185F,0,2,0,0,Substantial,Takeoff
Cessna,340,0,0,0,3,Substantial,Approach
Aerospatiale,SA-316B,0,0,0,6,Substantial,Taxi
Beech,35,0,0,0,3,Substantial,Climb
Cessna,152,0,0,0,2,Substantial,Approach
Mooney,M-20J,0,0,0,2,Substantial,Takeoff
Boeing,A75,0,1,0,1,Substantial,Cruise
Cessna,210,2,0,0,0,Destroyed,Cruise
Beech,V35,0,0,0,1,Substantial,Approach
Curtis,C46,0,0,0,3,Substantial,Standing
Cessna,172M,1,0,0,0,Destroyed,Approach
Piper,PA-28-140,1,1,0,0,Destroyed,Approach
Cessna,TU206G,0,0,0,1,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Cruise
Piper,PA-24-250,0,0,0,2,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Takeoff
Cessna,172N,0,0,0,2,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Landing
Schleicher,ASW 20,0,0,0,1,Substantial,Landing
Cessna,P210N,0,1,0,3,Substantial,Landing
Cessna,172,0,0,0,2,Substantial,Approach
Piper,PA-34,0,0,0,3,Substantial,Taxi
Cessna,305 (L-19),0,0,0,2,Substantial,Landing
Cessna,182A,0,0,0,1,Substantial,Approach
Piper,PA-23-250,0,2,0,0,Destroyed,Approach
Cessna,172N,0,0,0,4,Destroyed,Landing
Piper,23-250,0,0,0,2,Destroyed,Takeoff
Mooney,M20G,1,1,0,0,Destroyed,Cruise
Cessna,TU206F,0,0,4,0,Substantial,Landing
Quickie,1,0,0,0,1,Substantial,Takeoff
Cessna,U206,0,0,3,0,Substantial,Cruise
Piper,PA-28-140,0,1,1,0,Destroyed,Cruise
Cessna,210N,4,1,1,0,Destroyed,Takeoff
Cessna,180,0,0,0,1,Substantial,Takeoff
Cessna,310L,0,0,0,1,Substantial,Landing
Lockheed,L-1011,0,0,0,149,Unknown,Cruise
Embraer,EMB-110P1,0,0,0,2,Minor,Taxi
Cessna,414,0,0,3,0,Destroyed,Descent
Beech,P35,0,1,0,1,Substantial,Descent
Grumman,AA5B,0,0,0,1,Destroyed,Descent
Boeing,737-222,78,6,3,0,Destroyed,Takeoff
Piper,PA-28R-201T,0,0,0,3,Substantial,Cruise
Beech,A23-24,0,0,0,4,Substantial,Takeoff
Piper,PA-31-350,0,0,0,2,Substantial,Approach
Cessna,T210N,3,0,0,0,Destroyed,Climb
Cessna,310,0,0,0,2,Substantial,Approach
Cessna,172,0,0,0,2,Substantial,Landing
Hughes,269C,0,0,0,1,Substantial,Taxi
Cessna,140,0,0,0,1,Substantial,Takeoff
Swearingen,SA 226-TC,0,1,2,12,Substantial,Takeoff
Beech,C-45H,0,0,0,2,Substantial,Landing
De Havilland,DHC-2-MK3,0,0,0,4,Substantial,Landing
Bell Helicopter,206L-1,1,2,0,0,Destroyed,Cruise
Cessna,150M,0,0,0,1,Substantial,Go-around
Cessna,150M,1,0,0,0,Destroyed,Takeoff
Bede Aircraft,BD-5B,1,0,0,0,Destroyed,Maneuvering
Cessna,182P,0,0,1,0,Destroyed,Other
Convair,440,0,0,2,1,Destroyed,Takeoff
Piper,PA-31,1,0,0,0,Destroyed,Approach
Piper,PA-31T,0,0,3,0,Destroyed,Maneuvering
Beech,F50,2,0,0,0,Destroyed,Takeoff
Cessna,150,0,0,1,1,Destroyed,Takeoff
Cessna,180E,0,0,0,1,Substantial,Maneuvering
Cessna,170B,0,0,0,2,Substantial,Landing
Bell,206B,0,0,0,2,Substantial,Maneuvering
Beech,C23,0,2,2,0,Destroyed,Descent
Cessna,172M,1,0,0,0,Destroyed,Cruise
Piper,PA-28-180,3,0,0,0,Destroyed,Cruise
Cessna,180K,0,0,0,1,Substantial,Takeoff
Cessna,210L,4,0,0,0,Substantial,Approach
Mooney,M20F,1,0,0,0,Destroyed,Takeoff
Beech,G35,2,0,0,0,Destroyed,Maneuvering
Cessna,177B,1,2,0,0,Destroyed,Cruise
Grumman,AA5A,3,0,0,0,Destroyed,Approach
Swearingen,SA226-T(B),3,0,0,0,Destroyed,Approach
De Havilland,DHC-6-300,0,0,0,1,Minor,Descent
Piper,AEROSTAR 601P,0,0,0,2,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Cruise
Cessna,182P,0,0,1,1,Substantial,Cruise
Cessna,177RG,0,0,0,2,Substantial,Climb
Beachner,QUICK SILVER,0,0,1,0,Substantial,Climb
Cessna,182E,0,0,0,1,Substantial,Landing
Cessna,150H,0,0,0,1,Substantial,Approach
Cessna,340A,0,0,0,2,Substantial,Cruise
Piper,PA-38-112,0,0,0,2,Substantial,Takeoff
Canadair,CL-44D4,0,0,0,6,Substantial,Landing
Piper,PA-32,0,0,0,2,Substantial,Takeoff
Piper,PA-31-350,0,0,0,2,Minor,Takeoff
Beech,58,2,0,0,0,Destroyed,Cruise
Cessna,182N,3,0,0,0,Destroyed,Descent
Piper,PA-23-250,1,0,0,0,Destroyed,Approach
Cessna,210,1,0,0,1,Substantial,Approach
Cessna,152,0,0,0,1,Substantial,Landing
Hughes,269C,0,0,0,2,Substantial,Landing
Cessna,P210N,4,0,0,0,Destroyed,Cruise
Cessna,402A,1,0,0,0,Destroyed,Approach
Douglas,DC-3,0,0,2,0,Destroyed,Takeoff
Piper,PA-23-250,0,1,2,0,Destroyed,Maneuvering
Piper,PA-28-235,1,0,0,0,Destroyed,Cruise
Grumman,AA-1,1,0,0,0,Destroyed,Takeoff
Piper,PA-32,0,1,3,0,Destroyed,Approach
Cessna,207,0,0,1,0,Destroyed,Landing
Mooney,M-20,0,0,0,4,Substantial,Takeoff
Air Tractor,301,0,0,0,1,Substantial,Takeoff
Sons Mustang,II,2,0,0,0,Destroyed,Unknown
Dassault/Sud,FALCON 20,0,0,0,2,Unknown,Descent
Cessna,172M,0,0,0,2,Substantial,Landing
Sikorsky,S-58J,0,0,0,2,Substantial,Maneuvering
Cessna,172,1,1,0,0,Destroyed,Approach
Mooney,M20C,2,0,4,0,Destroyed,Unknown
Grumman,G-164A,0,0,0,1,Destroyed,Takeoff
Mcdonnell Douglas,DC-10-30,2,4,24,182,Destroyed,Landing
Beech,A23A,1,0,0,0,Destroyed,Cruise
Piper,PA-32-300,0,0,0,1,Substantial,Landing
Cessna,150M,0,0,0,3,Substantial,Cruise
Piper,PA-34-200T,0,0,0,3,Substantial,Approach
Piper,PA-28-235,2,0,4,0,Substantial,Cruise
Cessna,150H,0,1,0,0,Substantial,Landing
Bell/Textron,206 L-1,0,0,0,2,Substantial,Landing
Bell,47G-2,0,0,0,1,Substantial,Maneuvering
Piper,PA-38-112,0,0,1,1,Substantial,Go-around
Robertson,C-402B,7,0,0,0,Destroyed,Approach
Cessna,172,0,0,2,0,Substantial,Approach
Cessna,172,0,0,0,4,Substantial,Landing
Cessna,172RG,0,0,0,2,Substantial,Standing
Cessna,177,0,0,0,1,Substantial,Descent
Cessna,182M,2,0,0,0,Destroyed,Cruise
Cessna,152II,0,0,1,0,Substantial,Descent
Cessna,A188B,0,1,0,0,Destroyed,Maneuvering
Piper,PA-28-140,0,0,0,2,Substantial,Landing
Cessna,172N,0,0,0,3,Substantial,Taxi
Cessna,152,0,0,0,1,Substantial,Landing
Bellanca,7GCBC,0,0,0,1,Substantial,Takeoff
Hughes,369D,0,0,2,2,Substantial,Cruise
Bell,UH1B,1,0,0,0,Destroyed,Maneuvering
Cessna,152,0,0,0,2,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Landing
Cessna,172N,0,0,0,1,Substantial,Taxi
Aeronca,7BCM,0,0,0,1,Substantial,Landing
Piper,PA-38-112,0,0,0,2,Substantial,Approach
Piper,28-151,1,0,0,0,Destroyed,Cruise
Cessna,340A,0,0,0,2,Substantial,Takeoff
Cessna,172H,0,0,0,1,Substantial,Approach
Mooney,M20C,0,0,0,1,Substantial,Landing
Cessna,A185F,0,0,0,2,Substantial,Takeoff
Piper,PA-32-260,0,0,0,2,Substantial,Approach
Cessna,172N,1,0,0,0,Destroyed,Cruise
Beech,B200,0,0,0,2,Unknown,Cruise
Cessna,150,1,0,0,0,Destroyed,Maneuvering
Cessna,172,0,0,0,2,Substantial,Maneuvering
Piper,PA-28R-201T,0,0,0,1,Minor,Landing
Mooney,M20J,0,0,0,4,Destroyed,Climb
Cessna,TR182,1,0,0,0,Substantial,Takeoff
Aeronca,7AC,0,0,0,1,Substantial,Taxi
Cessna,177B,0,0,0,2,Substantial,Cruise
Cessna,172,0,0,0,3,Substantial,Landing
Cessna,140,0,0,0,2,Substantial,Takeoff
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,182L,0,0,0,2,Substantial,Landing
Cessna,172N,0,0,0,3,Substantial,Landing
Cessna,172P,0,0,0,3,Substantial,Landing
Piper,PA-22,0,0,1,1,Substantial,Takeoff
Cessna,150L,0,0,0,2,Substantial,Approach
Beech,36,0,1,0,1,Substantial,Cruise
Cessna,152,0,0,1,0,Substantial,Landing
Piper,PA-28-161,0,0,0,2,Substantial,Approach
Cessna,180K,0,0,0,3,Substantial,Landing
Cessna,152,0,0,0,2,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Landing
Piper,PA-22,0,0,0,2,Substantial,Takeoff
Beech,99,0,5,2,0,Destroyed,Approach
Cessna,172,0,1,1,0,Destroyed,Takeoff
Aerospatiale,SA-360C,0,1,0,0,Destroyed,Cruise
Cessna,182,2,0,0,0,Destroyed,Maneuvering
Bellanca,7ECA,0,0,0,1,Substantial,Takeoff
Cessna,TR182,0,0,0,2,Substantial,Landing
Cessna,P206,0,0,0,3,Substantial,Landing
Grumman,1159,0,0,0,4,Substantial,Landing
Piper,PA-32,0,1,0,0,Substantial,Cruise
Piper,PA-23-250,1,0,0,0,Destroyed,Approach
Cessna,150G,2,0,0,0,Destroyed,Unknown
Cessna,U206G,0,0,0,1,Substantial,Landing
Cessna,T210N,0,0,0,1,Substantial,Landing
Smith Miniplane,BK-1,0,0,0,1,Substantial,Landing
Mooney,M20J,1,0,0,0,Destroyed,Climb
Mitsubishi,MU2B-40,0,0,6,0,Destroyed,Landing
Mcdonnell-Douglas,DC-10-10,0,1,0,154,Minor,Takeoff
Cessna,150J,0,0,0,2,Substantial,Maneuvering
Taylorcraft,F19,0,0,0,1,Substantial,Landing
Bell,206L-1,0,0,0,1,Substantial,Cruise
Ted Smith,AEROSTAR 600,0,0,0,1,Substantial,Approach
Robinson,R-22,2,0,0,0,Destroyed,Cruise
Bellanca,7KCAB,0,0,0,1,Substantial,Landing
Bell,206L-1,0,0,0,1,Substantial,Takeoff
Piper,PA-28,2,0,0,0,Destroyed,Cruise
Piper,PA-32R-300,4,0,0,0,Destroyed,Cruise
Piper,PA-28-140,0,1,1,0,Substantial,Takeoff
Cessna,T210L,0,1,0,0,Substantial,Climb
Boeing,A75N1,0,0,0,3,Minor,Taxi
Piper,PA-31,0,2,0,0,Destroyed,Unknown
Bellanca,7KCAB,0,0,0,3,Minor,Standing
Taylorcraft,BC12-D,0,0,0,3,Substantial,Taxi
Piper,PA-28-140,0,0,0,1,Substantial,Landing
Raven,S-55A,0,0,0,2,Substantial,Landing
Cessna,180,0,0,0,3,Substantial,Taxi
Cessna,152,0,0,0,2,Substantial,Takeoff
Piper,PA-28-181,0,0,0,3,Substantial,Takeoff
Ercoupe,415-C,0,0,0,2,Substantial,Approach
Cessna,182H,0,0,0,2,Substantial,Landing
Cessna,150,0,0,2,0,Substantial,Landing
Piper,PA-24-180,8,0,0,0,Destroyed,Cruise
Cessna,182B,8,0,0,0,Destroyed,Cruise
Piper,PA-28-140,0,4,0,0,Destroyed,Landing
Cessna,P210N,4,0,0,0,Destroyed,Cruise
Rockwell Comdr,112TCA,0,1,0,0,Substantial,Takeoff
Piper,PA-28-180,0,0,0,1,Substantial,Landing
Bellanca,7KCAB,0,0,0,2,Substantial,Landing
Cessna,172N,0,0,0,5,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Landing
Piper,PA-38,0,0,0,1,Substantial,Takeoff
Cessna,177RG,0,0,0,2,Substantial,Taxi
Cessna,172,0,0,0,4,Substantial,Landing
Cessna,152,0,0,0,1,Substantial,Cruise
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,172N,1,0,0,0,Destroyed,Cruise
Cessna,C-172,0,0,1,0,Destroyed,Climb
Piper,PA-18A-150,1,0,0,0,Substantial,Takeoff
Cessna,152,0,0,0,1,Substantial,Landing
Piper,PA-28R-201,0,0,0,3,Substantial,Landing
Piper,PA-28-161,0,0,1,0,Substantial,Landing
Cessna,182P,0,0,1,0,Substantial,Approach
Cessna,140,0,0,0,1,Substantial,Landing
Beech,C-23,0,0,0,1,Substantial,Takeoff
Piper,PA-38-112,0,0,0,1,Destroyed,Landing
Beech,V35A,1,0,0,0,Destroyed,Maneuvering
Beech,200,0,0,0,10,Unknown,Takeoff
Cessna,310R,0,0,0,2,Substantial,Takeoff
Cessna,172,0,0,0,1,Substantial,Landing
Cessna,402B,0,0,0,1,Substantial,Go-around
Cessna,185,0,0,0,2,Substantial,Taxi
Cessna,310,0,2,0,0,Destroyed,Approach
Beech,95-C55,2,0,0,0,Destroyed,Cruise
Cessna,172K,0,0,0,1,Substantial,Approach
Cessna,421B,0,0,0,2,Substantial,Landing
Cessna,401,0,0,0,5,Substantial,Cruise
Sikorsky,UH-19B,0,0,0,2,Substantial,Landing
Cessna,421,2,0,0,0,Destroyed,Cruise
Grumman,G-164B,0,0,0,1,Destroyed,Takeoff
Cessna,152,0,0,0,1,Substantial,Takeoff
Piper,PA-60-602P,1,0,0,0,Substantial,Takeoff
De Havilland,DHC-6-100,0,0,0,7,Unknown,Cruise
Piper,PA-24-250,0,4,0,0,Destroyed,Cruise
